http,80/tcp,0.484143,# World Wide Web HTTP,,
ipp,631/udp,0.450281,# Internet Printing Protocol,,
snmp,161/udp,0.433467,# Simple Net Mgmt Proto,,
netbios-ns,137/udp,0.365163,# NETBIOS Name Service,,
ntp,123/udp,0.330879,# Network Time Protocol,,
netbios-dgm,138/udp,0.29783,# NETBIOS Datagram Service,,
ms-sql-m,1434/udp,0.293184,# Microsoft-SQL-Monitor,,
microsoft-ds,445/udp,0.253118,,,
msrpc,135/udp,0.244452,# Microsoft RPC services,,
dhcps,67/udp,0.22801,# DHCP/Bootstrap Protocol Server,,
telnet,23/tcp,0.221265,,,
domain,53/udp,0.213496,# Domain Name Server,,
https,443/tcp,0.208669,# secure http (SSL),,
ftp,21/tcp,0.197667,# File Transfer [Control],,
netbios-ssn,139/udp,0.193726,# NETBIOS Session Service,,
ssh,22/tcp,0.182286,# Secure Shell Login,,
isakmp,500/udp,0.163742,,,
dhcpc,68/udp,0.140118,# DHCP/Bootstrap Protocol Client,,
route,520/udp,0.139376,# router routed -- RIP,,
upnp,1900/udp,0.136543,# Universal PnP,,
smtp,25/tcp,0.131314,# Simple Mail Transfer,,
nat-t-ike,4500/udp,0.124467,# IKE Nat Traversal negotiation (RFC3947),,
syslog,514/udp,0.119804,# BSD syslogd(8),,
unknown,49152/udp,0.116002,,,
snmptrap,162/udp,0.103346,# snmp-trap,,
tftp,69/udp,0.102835,# Trivial File Transfer,,
zeroconf,5353/udp,0.100166,# Mac OS X Bonjour/Zeroconf port,,
rpcbind,111/udp,0.093988,"# portmapper, rpcbind",,
unknown,49154/udp,0.092369,,,
ms-wbt-server,3389/tcp,0.083904,"# Microsoft Remote Display Protocol (aka ms-term-serv, microsoft-rdp) | MS WBT Server",,
pop3,110/tcp,0.077142,# PostOffice V.3 | Post Office Protocol - Version 3,,
L2TP,1701/udp,0.076163,,,
puparp,998/udp,0.073395,,,
vsinet,996/udp,0.073362,,,
maitrd,997/udp,0.073247,,,
applix,999/udp,0.07323,# Applix ac,,
netassistant,3283/udp,0.066072,# Apple Remote Desktop Net Assistant reporting feature,,
unknown,49153/udp,0.060743,,,
microsoft-ds,445/tcp,0.056944,# SMB directly over IP,,
radius,1812/udp,0.053839,# RADIUS authentication protocol (RFC 2138),,
profile,136/udp,0.051862,# PROFILE Naming System,,
netbios-ssn,139/tcp,0.050809,# NETBIOS Session Service,,
imap,143/tcp,0.05042,# Interim Mail Access Protocol v2 | Internet Message Access Protocol,,
domain,53/tcp,0.048463,# Domain Name Server,,
msantipiracy,2222/udp,0.047902,# Microsoft Office OS X antipiracy network monitor,,
msrpc,135/tcp,0.047798,# epmap | Microsoft RPC services | DCE endpoint resolution,,
mysql,3306/tcp,0.04539,,,
nfs,2049/udp,0.044531,# networked file system,,
omad,32768/udp,0.044407,# OpenMosix Autodiscovery Daemon,,
sip,5060/udp,0.04435,# Session Initiation Protocol (SIP),,
http-proxy,8080/tcp,0.042052,# http-alt | Common HTTP proxy/second web server port | HTTP Alternate (see port 80),,
blackjack,1025/udp,0.041813,# network blackjack,,
ms-sql-s,1433/udp,0.036821,# Microsoft-SQL-Server,,
IISrpc-or-vat,3456/udp,0.036607,# also VAT default data,,
http,80/udp,0.035767,# World Wide Web HTTP,,
pptp,1723/tcp,0.032468,# Point-to-point tunnelling protocol,,
rpcbind,111/tcp,0.030034,"# sunrpc | portmapper, rpcbind | SUN Remote Procedure Call",,
pop3s,995/tcp,0.029921,# POP3 protocol over TLS/SSL | pop3 protocol over TLS/SSL (was spop3),,
imaps,993/tcp,0.027199,# imap4 protocol over TLS/SSL,,
bakbonenetvault,20031/udp,0.02549,# BakBone NetVault primary communications port,,
win-rpc,1026/udp,0.024777,# Commonly used to send MS Messenger spam,,
echo,7/udp,0.024679,,,
vnc,5900/tcp,0.02356,# rfb | Virtual Network Computer display 0 | Remote Framebuffer,,
radacct,1646/udp,0.023196,# radius accounting,,
radius,1645/udp,0.02318,# radius authentication,,
http-rpc-epmap,593/udp,0.022933,# HTTP RPC Ep Map,,
NFS-or-IIS,1025/tcp,0.022406,"# blackjack | IIS, NFS, or listener RFS remote_file_sharing | network blackjack",,
ntalk,518/udp,0.022208,# (talkd),,
dls-monitor,2048/udp,0.021549,,,
serialnumberd,626/udp,0.021473,# Mac OS X Server serial number (licensing) daemon,,
unknown,1027/udp,0.019822,,,
submission,587/tcp,0.019721,# Message Submission,,
xdmcp,177/udp,0.018551,# X Display Manager Control Protocol,,
h323gatestat,1719/udp,0.0185,# H.323 Gatestat,,
svrloc,427/udp,0.01827,# Server Location,,
retrospect,497/udp,0.017348,,,
sun-answerbook,8888/tcp,0.016522,# ddi-udp-1 | ddi-tcp-1 | Sun Answerbook HTTP server.  Or gnump3d streaming music server | NewsEDGE server TCP (TCP 1) | NewsEDGE server UDP (UDP 1),,
krb524,4444/udp,0.016343,,,
unknown,1023/udp,0.016188,,,
unknown,65024/udp,0.016064,,,
smux,199/tcp,0.015945,# SNMP Unix Multiplexer,,
chargen,19/udp,0.015865,# ttytst source Character Generator,,
discard,9/udp,0.015733,# sink null,,
unknown,49193/udp,0.015562,,,
solid-mux,1029/udp,0.014536,# Solid Mux Server,,
h323q931,1720/tcp,0.014277,# h323hostcall | Interactive media | H.323 Call Control Signalling | H.323 Call Control,,
